uid,rpp,userAgent,query,submitter,isBot,actor,type,owningComm,city,id,previousWorkflowStep,time,scopeType,page,longitude,scopeId,epersonid,workflowItemId,sortOrder,countryCode,dns,owningColl,statistics_type,ip,referrer,sortBy,owner,continent,owningItem,latitude,bundleName,workflowStep,,,,,,,,,,,,,,,
9f17adee-282c-4b6f-960d-b10665faa967,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,90,,16733,,2015-01-03T13:32:32.506Z,,,,,,,,,11.222.333.130,176,view,11.222.333.130,https://myrepo.myinst.edu/,,,,3471,,THUMBNAIL,,,,,,,,,,,,,,,,
7ee914b8-319c-4331-87c8-438a759e354c,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,4,,,26,,2016-01-03T13:33:09.945Z,,,,,,,,,11.222.333.130,,view,11.222.333.130,https://myrepo.myinst.edu/,,,,,,,,,,,,,,,,,,,,,,
2ab74339-a1d5-49e2-87a0-be70f7c62cfe,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"99,26,26",,14546,,2017-01-03T13:33:12.771Z,,,,,,,,,11.222.333.130,195,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,2643,,THUMBNAIL,,,,,,,,,,,,,,,,
df31be95-a538-4383-9b5e-71e2b499bcca,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,FALSE,,0,"99,26,26",,14640,,2018-01-03T13:33:12.804Z,,,,,,,,,11.222.333.130,173,view,11.222.333.130,https://myrepo.myinst.edu/handle/987654321/1,,,,2666,,THUMBNAIL,,,,,,,,,,,,,,,,
